pair_id,field,value_a,value_b,relationship,confidence,notes
P201,ai_component,AI agents for Web3,AI agents for Web3 workflows (agentic wallet),near_synonym,high,
P202,use_case,L1 infrastructure,data storage infrastructure,near_synonym,medium,
P203,use_case,token on BNB Smart Chain,tools/services around BNB Smart Chain,related_but_distinct,medium,
P204,use_case,trading + DeFi automation,trading automation,near_synonym,high,
P205,ai_component,GPU/compute for AI/ML workloads,GPU compute for AI training,near_synonym,high,
P206,ai_component,data platform + AI managed services,AI data platform / AI agents,related_but_distinct,medium,
P207,ai_component,AI agent creation + deployment platform,AI agent creation + management platform,exact_synonym,medium,
P208,use_case,compute/GPU rental for containers,GPU rental for AI/ML,related_but_distinct,medium,
P209,ai_component,AI agents marketplace,compute marketplace + AI agents + AI marketplace,near_synonym,medium,
P210,ai_component,autonomous AI agent,autonomous AI agent for DePIN content,near_synonym,high,
P211,use_case,blockchain data indexing + queries,blockchain indexing + query answering,exact_synonym,high,
P212,ai_component,compute marketplace + AI agents + AI marketplace,AI agents marketplace,near_synonym,high,
P213,ai_component,AI meme generation (forge),AI meme generation + AI tools,near_synonym,high,
P214,use_case,content generation + distribution,content generation + assistant,near_synonym,medium,
P215,ai_component,L2 for AI dApps (Parallel EVM + GPU network),AI L2 for AI dApps,near_synonym,high,
P216,ai_component,decentralized GPU cloud + data agent,decentralized GPU cloud for AI/ML workloads,near_synonym,high,
P217,use_case,token on Solana,trading/holding a token on Solana,near_synonym,medium,
P218,use_case,crypto analytics terminal + screeners,crypto analytics,near_synonym,high,
P219,ai_component,LLM/agents + inference nodes,LLM nodes + inference,near_synonym,high,
P220,use_case,create + monetize AI agents,create/train/monetize AI agents + iNFTs,near_synonym,high,
P221,use_case,fast creation + monetization of UGC games,AI content creation + monetization,near_synonym,medium,
P222,use_case,distributed training,distributed edge training/inference,near_synonym,high,
P223,ai_component,AI agent for token/security analysis,AI agent for token/wallet analysis,exact_synonym,high,
P224,ai_component,positioning only (AI tools/community),"positioning only (""AI agents"")",near_synonym,high,
P225,use_case,token on Solana,trading/holding a token on Solana,near_synonym,medium,
P226,ai_component,positioning only,positioning only (AI apps infrastructure),near_synonym,high,
P227,ai_component,decentralized AI agents marketplace,decentralized AI inference/hosting marketplace,near_synonym,medium,
P228,ai_component,"positioning only (""AI agents"")",positioning only (AI tools/community),near_synonym,medium,
P229,use_case,decentralized compute marketplace,compute marketplace + orchestration,near_synonym,high,
P230,ai_component,positioning only (AI toolkit),"positioning only (""AI"" analytics)",near_synonym,medium,
P231,use_case,"build, deploy + monetize agents",build + deploy AI agents,near_synonym,high,
P232,use_case,AI content generation + social media agents,meme generation for social media,near_synonym,medium,
P233,use_case,GPU compute marketplace (training/inference),distributed AI compute (training/inference),exact_synonym,medium,
P234,use_case,DeFi automation + agents,trading + DeFi automation,near_synonym,high,
P235,use_case,chat + content agent,community chat + content,exact_synonym,medium,
P236,ai_component,GPU/compute for AI/ML workloads,decentralized GPU cloud for AI/ML workloads,near_synonym,high,
P237,use_case,"DeFi operations via ""agents""",DeFi operations via integrations + aggregation,near_synonym,medium,
P238,use_case,no-code game creation from prompts,content generation from prompts,near_synonym,high,
P239,use_case,AI agent creation + deployment,AI agent creation + use,near_synonym,medium,
P240,use_case,data monetization + analytics/compute,data monetization + rewards,near_synonym,medium,
P241,ai_component,positioning only,positioning only (AI tools/community),near_synonym,high,
P242,ai_component,decentralized GPU cloud for AI/ML workloads,decentralized GPU cloud + data agent,near_synonym,high,
P243,use_case,Face-NFT creation + trading,AI character/NFT creation + trading,near_synonym,medium,
P244,ai_component,"positioning only (""AI dog/companion"")","positioning only (""AI agents"")",near_synonym,medium,
P245,ai_component,positioning only (AI tools/community),"positioning only (""AI"" analytics)",near_synonym,high,
P246,use_case,decentralized AI inference,AI inference marketplace + decentralized compute,near_synonym,high,
P247,ai_component,LLM nodes + inference,LLM/agents + inference nodes,exact_synonym,high,
P248,ai_component,autonomous AI artist / chat agent,autonomous AI agent,near_synonym,high,
P249,ai_component,confidential computing for AI (TEE),"FHE inference, confidential computing",near_synonym,medium,
P250,ai_component,positioning only,positioning only (on-chain data),near_synonym,high,
P251,use_case,AI agent creation + use,AI agent creation + deployment,near_synonym,medium,
P252,ai_component,AI applicability for AI agents/dApps,AI applicability for storage/DA,near_synonym,medium,
P253,ai_component,serverless runtime for AI agents,TypeScript runtime for AI agents,related_but_distinct,low,оба runtime но разная архитектура
P254,use_case,verifiable credentials + digital ID,AI training + verifiable credentials,related_but_distinct,medium,
P255,ai_component,"positioning only (""AI agents"")",positioning only (AI apps infrastructure),near_synonym,medium,
P256,use_case,crypto task automation,development task automation,near_synonym,medium,
P257,ai_component,AI features/AI products in ecosystem,AI features/products,exact_synonym,high,
P258,ai_component,AI co-pilot for DeFi + on-chain actions,AI co-pilot for Web3 tasks,near_synonym,high,
P259,use_case,AI agents for Web3 interactions,chat/agents for Web3,near_synonym,high,
P260,ai_component,no-code AI agent marketplace,no-code AI agent clusters for verification,near_synonym,medium,
P261,use_case,token on Solana,RWA/AI narrative + token on Solana,near_synonym,medium,
