pair,type,k,overlap,jaccard,inter
A-B,within-SPARSE,5,0.0,0.0,0
A-B,within-SPARSE,10,0.3,0.176471,3
A-B,within-SPARSE,15,0.4,0.25,6
A-B,within-SPARSE,25,0.4,0.25,10
A-B,within-SPARSE,35,0.371429,0.22807,13
A-B,within-SPARSE,50,0.32,0.190476,16
A-B,within-SPARSE,75,0.32,0.190476,24
A-B,within-SPARSE,100,0.32,0.190476,32
A-C,cross-family,5,0.0,0.0,0
A-C,cross-family,10,0.2,0.111111,2
A-C,cross-family,15,0.133333,0.071429,2
A-C,cross-family,25,0.36,0.219512,9
A-C,cross-family,35,0.342857,0.206897,12
A-C,cross-family,50,0.42,0.265823,21
A-C,cross-family,75,0.413333,0.260504,31
A-C,cross-family,100,0.4,0.25,40
A-D,cross-family,5,0.0,0.0,0
A-D,cross-family,10,0.0,0.0,0
A-D,cross-family,15,0.0,0.0,0
A-D,cross-family,25,0.24,0.136364,6
A-D,cross-family,35,0.314286,0.186441,11
A-D,cross-family,50,0.32,0.190476,16
A-D,cross-family,75,0.4,0.25,30
A-D,cross-family,100,0.38,0.234568,38
A-E,cross-family,5,0.0,0.0,0
A-E,cross-family,10,0.0,0.0,0
A-E,cross-family,15,0.066667,0.034483,1
A-E,cross-family,25,0.2,0.111111,5
A-E,cross-family,35,0.285714,0.166667,10
A-E,cross-family,50,0.34,0.204819,17
A-E,cross-family,75,0.386667,0.239669,29
A-E,cross-family,100,0.39,0.242236,39
B-C,cross-family,5,0.2,0.111111,1
B-C,cross-family,10,0.2,0.111111,2
B-C,cross-family,15,0.266667,0.153846,4
B-C,cross-family,25,0.28,0.162791,7
B-C,cross-family,35,0.2,0.111111,7
B-C,cross-family,50,0.22,0.123596,11
B-C,cross-family,75,0.293333,0.171875,22
B-C,cross-family,100,0.32,0.190476,32
B-D,cross-family,5,0.2,0.111111,1
B-D,cross-family,10,0.1,0.052632,1
B-D,cross-family,15,0.266667,0.153846,4
B-D,cross-family,25,0.2,0.111111,5
B-D,cross-family,35,0.171429,0.09375,6
B-D,cross-family,50,0.14,0.075269,7
B-D,cross-family,75,0.2,0.111111,15
B-D,cross-family,100,0.27,0.156069,27
B-E,cross-family,5,0.2,0.111111,1
B-E,cross-family,10,0.1,0.052632,1
B-E,cross-family,15,0.2,0.111111,3
B-E,cross-family,25,0.2,0.111111,5
B-E,cross-family,35,0.171429,0.09375,6
B-E,cross-family,50,0.2,0.111111,10
B-E,cross-family,75,0.253333,0.145038,19
B-E,cross-family,100,0.29,0.169591,29
C-D,within-DENSE,5,0.4,0.25,2
C-D,within-DENSE,10,0.5,0.333333,5
C-D,within-DENSE,15,0.733333,0.578947,11
C-D,within-DENSE,25,0.76,0.612903,19
C-D,within-DENSE,35,0.8,0.666667,28
C-D,within-DENSE,50,0.64,0.470588,32
C-D,within-DENSE,75,0.68,0.515152,51
C-D,within-DENSE,100,0.66,0.492537,66
C-E,within-DENSE,5,0.4,0.25,2
C-E,within-DENSE,10,0.5,0.333333,5
C-E,within-DENSE,15,0.666667,0.5,10
C-E,within-DENSE,25,0.72,0.5625,18
C-E,within-DENSE,35,0.685714,0.521739,24
C-E,within-DENSE,50,0.58,0.408451,29
C-E,within-DENSE,75,0.546667,0.376147,41
C-E,within-DENSE,100,0.57,0.398601,57
D-E,within-DENSE,5,0.2,0.111111,1
D-E,within-DENSE,10,0.5,0.333333,5
D-E,within-DENSE,15,0.6,0.428571,9
D-E,within-DENSE,25,0.68,0.515152,17
D-E,within-DENSE,35,0.657143,0.489362,23
D-E,within-DENSE,50,0.64,0.470588,32
D-E,within-DENSE,75,0.653333,0.485149,49
D-E,within-DENSE,100,0.62,0.449275,62
